"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)"
cerad15bnt_volcano_resp,cerad_15_item_bnt,,text,"Volcano: Response",,,,,,,,,,
cerad15bnt_volcano_score,cerad_15_item_bnt,,radio,"Volcano: Score","1, Correct | 0, Incorrect",,,,,,,,RH,
cerad15bnt_mask_response,cerad_15_item_bnt,,text,"Mask: Response",,,,,,,,,,
cerad15bnt_mask_score,cerad_15_item_bnt,,radio,"Mask: Score","1, Correct | 0, Incorrect",,,,,,,,RH,
cerad15bnt_camel_response,cerad_15_item_bnt,,text,"Camel: Response",,,,,,,,,,
cerad15bnt_camel_score,cerad_15_item_bnt,,radio,"Camel: Score","1, Correct | 0, Incorrect",,,,,,,,RH,
cerad15bnt_harm_response,cerad_15_item_bnt,LOW,text,"Harmonica: Response",,,,,,,,,,
cerad15bnt_harm_score,cerad_15_item_bnt,,radio,"Harmonica: Score","1, Correct | 0, Incorrect",,,,,,,,RH,
cerad15bnt_tongs_response,cerad_15_item_bnt,,text,"Tongs: Response",,,,,,,,,,
cerad15bnt_tongs_score,cerad_15_item_bnt,,radio,"Tongs: Score","1, Correct | 0, Incorrect",,,,,,,,RH,
cerad15bnt_hamm_response,cerad_15_item_bnt,,text,"Hammock: Response",,,,,,,,,,
cerad15bnt_hamm_score,cerad_15_item_bnt,,radio,"Hammock: Score","1, Correct | 0, Incorrect",,,,,,,,RH,
cerad15bnt_funnel_response,cerad_15_item_bnt,,text,"Funnel: Response",,,,,,,,,,
cerad15bnt_funnel_score,cerad_15_item_bnt,,radio,"Funnel: Score","1, Correct | 0, Incorrect",,,,,,,,RH,
cerad15bnt_domin_response,cerad_15_item_bnt,,text,"Dominoes: Response",,,,,,,,,,
cerad15bnt_domin_score,cerad_15_item_bnt,,radio,"Dominoes: Score","1, Correct | 0, Incorrect",,,,,,,,RH,
cerad15bnt_total,cerad_15_item_bnt,,text,Total:,,,,,,,,,,
rey1,rey_o,"REY-O    Copy Trial:    [The order for coloring pencils is red, green, and then blue.]  ",descriptive,"Point to the stimulus and say,

""Look at this figure.""
",,,,,,,,,,
rey2,rey_o,,descriptive,"Next, point to the blank space to the right of the figure and say,

""I would like you to copy the figure right here in this blank space.""
",,,,,,,,,,
rey3,rey_o,,descriptive,"Hand the red coloring pencil to the patient and say,

""First you will start with the red coloring pencil. I will ask you to switch pencils as you are copying the figure, but you should just continue drawing as you were.""
",,,,,,,,,,
rey4,rey_o,,text,"Point back to the stimulus card and say,

""Copy it so that I know that this is the figure you drew. Do a good job.""

Give them a minimum of 2.5 minutes and maximum of 5 minutes to draw figure. Record the total time it takes to complete the drawing.
",,,,,,,,,,
rey5,rey_o,"Immediate Recall Trial (3 min):",descriptive,"After handing a #2 pencil to the respondent, say,

""A short time ago I had you copy a figure. I would like you to draw that figure again, but this time from memory.""
",,,,,,,,,,
rey6,rey_o,,descriptive,"Point to the blank response sheet and say,

""Draw that figure here.""
",,,,,,,,,,
avf_anm,cerad_animalveg_fluency,"CERARD  Verbal Fluency: Animal Category    Administration:    ""I am going to give you a category and I want you to name, as fast as you can, all the things that belong in the category.   For example, If I say 'articles of clothing', you could say shirt, tie or hat. Can you think of other articles of clothing?""  Wait for the subject to give 2 words. If they succeed, indiacte that the responses are correct and proceed to the test itself.  If the subject gives and inappropriate word or reply, correct the response and repeat the instructions.   If the subject fails to respond, repeat the instructions. If it becomes clear that the subject still does not understand the instruction terminate this task and explain why this is so.    After you are satisfied that the subject understands the task and has given 2 words naming articles of clothing say:  ""That is fine, I want you to name all the things that belong in another category, that is, 'animals'. You will have one minute.  I want you to tell me all the animals you can think of in one minute. Ready, begin.""    Allow one minute. If the subject discontinues before the end of the time period, encourage him or her to try and find more words.   If (s)he is silent for 15 seconds, repeat the basic instruction (""I want you to tell me all the animals you can think of"").  No extension on the time limit is made in the event that the instruction is repeated in the course of the association.    Scoring:    The sum of acceptable ""animals"" given in each 15 second interval. Any member of the animal kingdom, real or imaginary, is scored as correct, excpet repetitions and proper nouns. Specifically, each of the following gets credit:  A species name and any accompanying breeds within the same species; male, female, infant names of a species. For Example:    Responses / Points  dog / 1  terrier / 1  dachshund / 1  mutt / 0 repetition  brown dog / 1  puppy / 1  bitch / 1  fido / 0 proper noun  unicorn / 1  amoeba / 0  baby dog / 0 repetition  grizzly bear / 1  brown bear / 1  ",notes,"Animals: 0-15 seconds",,,,,,,,,,
avf_anm2,cerad_animalveg_fluency,,notes,"Animals: 15-30 seconds",,,,,,,,,,
avf_anf3,cerad_animalveg_fluency,,notes,"Animals: 30-45 seconds",,,,,,,,,,
avf_anm4,cerad_animalveg_fluency,,notes,"Animals: 45-60 seconds",,,,,,,,,,
avf_anm_tot,cerad_animalveg_fluency,,text,"Animals: Total",,,,,,,,,,
avf_veg_int,cerad_animalveg_fluency,,descriptive,"Vegetables
Only administer Veg. for HONOR visit",,,,,,,,,,
avf_veg1,cerad_animalveg_fluency,,notes,"Vegetables: 0-15 seconds",,,,,,,,,,
avf_veg2,cerad_animalveg_fluency,,notes,"Vegetables: 15-30 seconds",,,,,,,,,,
avf_veg3,cerad_animalveg_fluency,,notes,"Vegetables: 30 - 45 seconds",,,,,,,,,,
avf_veg4,cerad_animalveg_fluency,,notes,"Vegetables: 45 - 60 seconds",,,,,,,,,,
avf_veg_tot,cerad_animalveg_fluency,,text,"Vegetables: Total",,,,,,,,,,
fas_f_1,fas,"Fluency: FAS    Administration:     ""I am going to say a letter of the alphabet and I want you to say, as quickly as you can, all the words you can think of that start with that letter.  For instance, if I say 'B' you might say 'Bad, battle, bed, or other words like that.' I do not want you to use words that are proper names, such as the name of people or places, so you would not use words such as 'Boston, Bob, or Buick.'   Also, please don't use the same word with a different ending, such as 'eat and eating.'  Do you have any questions? Okay, please begin when I say the first letter. The first letter is 'F.' Go ahead."" (60 seconds per letter)      ",notes,"F: 0-15 seconds",,,,,,,,,,
fas_f_2,fas,,notes,"F: 15-30 seconds",,,,,,,,,,
fas_f_3,fas,,notes,"F: 30-45 seconds",,,,,,,,,,
fas_f_4,fas,,notes,"F: 45-60 seconds",,,,,,,,,,
fas_f_tot,fas,,text,"F: Total",,,,,,,,,,
fas_a_1,fas,,notes,"A: 0-15 seconds",,,,,,,,,,
fas_a_2,fas,,notes,"A: 15-30 seconds",,,,,,,,,,
fas_a_3,fas,,notes,"A: 30-45 seconds",,,,,,,,,,
fas_a_4,fas,,notes,"A: 45-60 seconds",,,,,,,,,,
fas_a_tot,fas,,text,"A: Total",,,,,,,,,,
fas_s_1,fas,,notes,"S: 0-15 seconds",,,,,,,,,,
fas_s_2,fas,,notes,"S: 15-30 seconds",,,,,,,,,,
fas_s_3,fas,,notes,"S: 30-45 seconds",,,,,,,,,,
fas_s_4,fas,,notes,"S: 45-60 seconds",,,,,,,,,,
fas_s_tot,fas,,text,"S: Total",,,,,,,,,,
fas_tot,fas,,text,"FAS: Total",,,,,,,,,,
cwl_wlmt_des,cerad_word_list,,descriptive,"CERAD
Word List Memory Task

Administration: (Trial 1-3)

""I am going to show you ten printed words. Read each word out loud as I show it to you. Later I will ask you to recall all ten words.""
Show the words in the first set at the rate of one word every two seconds. 
If the subject cannot read the word, say it for him (or her) and check the 'can't read' column on the response sheet for that word.
After the last word has been read, ask the subject to recall as many words as he (or she) can. 
Allow a maximum of 90 seconds. Continue with the second and third sets of the words in the same way, changing your instructions slightly to encourage the subject.

DELAY: 3 minutes

Delayed Recall: 

""A few minutes ago I asked you to learn a list of ten words which you read one at a time from cards. 
Now I want you to try and recall as many of those 10 words as you can. 
OK now tell me as many of those 10 words as you can remember.

Scoring: 
The number of words correctly recalled. Be sure to also record on each trial the number of words that subject ""recalls"" that are not on the list (intrusions).

",,,,,,,,,,
cwl_wlr_des,cerad_word_list,,descriptive,"Word List Recognition:

Administration:

""Now I am going to show you a set of words printed on cards. Some of the words are from the list you saw earlier and some words I have not shown you before. I want you to tell me which words are from the list you saw earlier (show the first word). Is this one of the words you saw earlier?""
Repeat the question or say ""How about this one?"" for each word. Urge subject to give 'Yes' or 'No' responses.

Scoring:

Include correctly recognized words previously seen (correct 'Yes' responses) and the number of correctly rejected new words (correct 'No' responses)

(* indicates target word)",,,,,,,,,,
cwl_wlr_chur,cerad_word_list,,radio,Church,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_coff,cerad_word_list,,radio,Coffee,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_butt,cerad_word_list,,radio,Butter*,"1, Yes, | 0, No",,,,,,,,RH,
cwl_wlr_doll,cerad_word_list,,radio,Dollar,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_arm,cerad_word_list,,radio,Arm*,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_shor,cerad_word_list,,radio,Shore*,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_five,cerad_word_list,,radio,Five,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_lett,cerad_word_list,,radio,Letter*,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_hote,cerad_word_list,,radio,Hotel,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_moun,cerad_word_list,,radio,Mountain,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_quee,cerad_word_list,,radio,Queen*,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_cabi,cerad_word_list,,radio,Cabin*,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_slip,cerad_word_list,,radio,Slipper,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_pole,cerad_word_list,,radio,Pole*,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_vill,cerad_word_list,,radio,Village,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_stri,cerad_word_list,,radio,String,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_tick,cerad_word_list,,radio,Ticket*,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_troo,cerad_word_list,,radio,Troops,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_gras,cerad_word_list,,radio,Grass*,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_engi,cerad_word_list,,radio,Engine*,"1, Yes | 0, No",,,,,,,,RH,
cwl_wlr_yes,cerad_word_list,,text,"Total Correct Yes",,,,,,,,,,
cwl_wlr_no,cerad_word_list,,text,"Total Correct No",,,,,,,,,,
cwl_wlr_falspos,cerad_word_list,,text,"Total False Positives",,,,,,,,,,
uploaded_stuff,cerad_word_list,,file,"UPLOad your stuff here!!!",,UPLOAD!!,,,,y,,y,,
sharath_is_true,cerad_word_list,,radio,"Sharath is Cool","1, True | 2, False",,,,,,,,,
hama_patient_name,hamilton_anxiety_scale_hama,"The Hamilton Anxiety Scale (HAM-A) is a rating scale developed to quantify the severity of anxiety symptomatology, often used in psychotropic drug evaluation. It consists of 14 items, each defined by a series of symptoms. Each item is rated on a 5-point scale, ranging from 0 (not present) to 4 (severe). The following online version is provided for educational purposes only. ",text,"Patient Name",,,,,,,,,,
hama_todays_date,hamilton_anxiety_scale_hama,,text,"Today's Date",,,date_ymd,,,,,,,
hama_1,hamilton_anxiety_scale_hama,,radio,"1. ANXIOUS MOOD<br> -Worries<br>-Anticipates worst ","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,
hama_2,hamilton_anxiety_scale_hama,,radio,"2. TENSION<br>-Startles<br>-Cries easily<br>-Restless<br>-Trembling","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,
hama_3,hamilton_anxiety_scale_hama,,radio,"3. FEARS <br>-Fear of the dark <br>-Fear of strangers<br>-Fear of being alone<br>-Fear of animal","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,
hama_4,hamilton_anxiety_scale_hama,,radio,"4. INSOMNIA <br>-Difficulty falling asleep or staying asleep <br>-Difficulty with Nightmares","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,
hama_5,hamilton_anxiety_scale_hama,,radio,"5. INTELLECTUAL <br>-Poor concentration<br>-Memory Impairment","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,
hama_6,hamilton_anxiety_scale_hama,,radio,"6. DEPRESSED MOOD<br>-Decreased interest in activities<br>-Anhedoni<br>-Insomnia","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,
hama_7,hamilton_anxiety_scale_hama,,radio,"7. SOMATIC COMPLAINTS: MUSCULAR<br>-Muscle aches or pains<br>-Bruxism","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,
hama_8,hamilton_anxiety_scale_hama,,radio,"8. SOMATIC COMPLAINTS: SENSORY<br>-Tinnitus <br>-Blurred vision","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,
hama_9,hamilton_anxiety_scale_hama,,radio,"9. CARDIOVASCULAR SYMPTOMS<br>-Tachycardia <br>-Palpitations<br>-Chest Pain<br>-Sensation of feeling faint","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,
hama_10,hamilton_anxiety_scale_hama,,radio,"10. RESPIRATORY SYMPTOMS<br>-Chest pressure<br>-Choking sensation<br>-Shortness of Breath","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,
hama_11,hamilton_anxiety_scale_hama,,radio,"11. GASTROINTESTINAL SYMPTOMS<br>-Dysphagia<br>-Nausea or Vomiting<br>-Constipation<br>-Weight loss<br>-Abdominal fullness","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,
hama_12,hamilton_anxiety_scale_hama,,radio,"12. GENITOURINARY SYMPTOMS<br>-Urinary frequency or urgency<br>-Dysmenorrhea <br>-Impotence","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,
hama_13,hamilton_anxiety_scale_hama,,radio,"13. AUTONOMIC SYMPTOMS<br>-Dry Mouth<br>-Flushing<br>-Pallor<br>-Sweating","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,
hama_14,hamilton_anxiety_scale_hama,,radio,"14. BEHAVIOR AT INTERVIEW<br>-Fidgets<br>-Tremor<br>-Paces","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,
hama_score,hamilton_anxiety_scale_hama,"HAM-A score level of anxiety: < 17 mild; 18 - 24 mild to moderate; 25 - 30 moderate to severe",text,"TOTAL SCORE:",,,number,0,,,,,,
gdsl_1,geriatric_depression_scale_gds_long_form,,radio,"1. Are you basically satisfied with your life ?","0, Yes | 1, No",,,,,,,,,
gdsl_2,geriatric_depression_scale_gds_long_form,,radio,"2. Have you dropped many of your activities and interests ?","1, Yes | 0, No",,,,,,,,,
gdsl_3,geriatric_depression_scale_gds_long_form,,radio,"3. Do you feel that your life is empty ?","1, Yes | 0, No",,,,,,,,,
gdsl_4,geriatric_depression_scale_gds_long_form,,radio,"4. Do you often get bored ?","1, Yes | 0, No",,,,,,,,,
gdsl_5,geriatric_depression_scale_gds_long_form,,radio,"5. Are you hopeful about the future ?","0, Yes | 1, No",,,,,,,,,
gdsl_6,geriatric_depression_scale_gds_long_form,,radio,"6. Are you bothered by thoughts you can t get out of your head ?","1, Yes | 0, No",,,,,,,,,
gdsl_7,geriatric_depression_scale_gds_long_form,,radio,"7. Are you in good spirits most of the time ?","0, Yes | 1, No",,,,,,,,,
gdsl_8,geriatric_depression_scale_gds_long_form,,radio,"8. Are you afraid that something bad is going to happen to you ?","1, Yes | 0, No",,,,,,,,,
gdsl_9,geriatric_depression_scale_gds_long_form,,radio,"9. Do you feel happy most of the time ?","0, Yes | 1, No",,,,,,,,,
gdsl_10,geriatric_depression_scale_gds_long_form,,radio,"10. Do you often feel helpless ?","1, Yes | 0, No",,,,,,,,,
gdsl_11,geriatric_depression_scale_gds_long_form,,radio,"11. Do you often get restless and fidgety ?","1, Yes | 0, No",,,,,,,,,
gdsl_12,geriatric_depression_scale_gds_long_form,,radio,"12. Do you prefer to stay at home, rather than going out and doing new things ?","1, Yes | 0, No",,,,,,,,,
gdsl_13,geriatric_depression_scale_gds_long_form,,radio,"13. Do you frequently worry about the future ?","1, Yes | 0, No",,,,,,,,,
gdsl_14,geriatric_depression_scale_gds_long_form,,radio,"14. Do you feel you have more problems with memory than most ?","1, Yes | 0, No",,,,,,,,,
gdsl_15,geriatric_depression_scale_gds_long_form,,radio,"15. Do you think it is wonderful to be alive now ?","0, Yes | 1, No",,,,,,,,,
gdsl_16,geriatric_depression_scale_gds_long_form,,radio,"16. Do you often feel downhearted and blue ?","1, Yes | 0, No",,,,,,,,,
gdsl_17,geriatric_depression_scale_gds_long_form,,radio,"17. Do you feel pretty worthless the way you are now ?","1, Yes | 0, No",,,,,,,,,
gdsl_18,geriatric_depression_scale_gds_long_form,,radio,"18. Do you worry a lot about the past ?","1, Yes | 0, No",,,,,,,,,
gdsl_19,geriatric_depression_scale_gds_long_form,,radio,"19. Do you find life very exciting ?","0, Yes | 1, No",,,,,,,,,
gdsl_20,geriatric_depression_scale_gds_long_form,,radio,"20. Is it hard for you to get started on new projects ?","1, Yes | 0, No",,,,,,,,,
gdsl_21,geriatric_depression_scale_gds_long_form,,radio,"21. Do you feel full of energy ?","0, Yes | 1, No",,,,,,,,,
gdsl_22,geriatric_depression_scale_gds_long_form,,radio,"22. Do you feel that your situation is hopeless ?","1, Yes | 0, No",,,,,,,,,
gdsl_23,geriatric_depression_scale_gds_long_form,,radio,"23. Do you think that most people are better off than you are ?","1, Yes | 0, No",,,,,,,,,
gdsl_24,geriatric_depression_scale_gds_long_form,,radio,"24. Do you frequently get upset over little things ?","1, Yes | 0, No",,,,,,,,,
gdsl_25,geriatric_depression_scale_gds_long_form,,radio,"25. Do you frequently feel like crying ?","1, Yes | 0, No",,,,,,,,,
gdsl_26,geriatric_depression_scale_gds_long_form,,radio,"26. Do you have trouble concentrating ?","1, Yes | 0, No",,,,,,,,,
gdsl_27,geriatric_depression_scale_gds_long_form,,radio,"27. Do you enjoy getting up in the morning ?","0, Yes | 1, No",,,,,,,,,
gdsl_28,geriatric_depression_scale_gds_long_form,,radio,"28. Do you prefer to avoid social gatherings ?","1, Yes | 0, No",,,,,,,,,
gdsl_29,geriatric_depression_scale_gds_long_form,,radio,"29. Is it easy for you to make decisions ?","0, Yes | 1, No",,,,,,,,,
gdsl_30,geriatric_depression_scale_gds_long_form,,radio,"30. Is your mind as clear as it used to be ?","0, Yes | 1, No",,,,,,,,,
ect_consent_signed,geriatric_depression_scale_gds_long_form,,yesno,"<style color:red>Did you get consent yet?<./style>

<span style=""color: red; font-size: 20pt; font-style:italic"">red italic text of size 20</span>.",,"Got ECT?",,,,,,y,,
abs_patient,agitated_behavior_scale,,text,Patient,,,,,,y,,,,
abs_observ_environ,agitated_behavior_scale,,text,"Observ. Environ.",,,,,,,,,,
abs_rater_disc,agitated_behavior_scale,,text,Rater/Disc.,,,,,,,,,,
abs_start,agitated_behavior_scale,,text,"Period of Observation: Start",,,datetime_ymd,,,,,,,
abs_end,agitated_behavior_scale,,text,"Period of Observation: End",,,datetime_ymd,,,,,,,
abs_01,agitated_behavior_scale,"At the end of the observation period indicate whether the behavior described in each item was present and, if so, to what degree: slight, moderate or extreme.   Use the following numerical values and criteria for your ratings.     1 = absent: the behavior is not present.     2 = present to a slight degree: the behavior is present but does not prevent the conduct of other, contextually appropriate behavior. (The individual may redirect spontaneously, or the continuation of the agitated behavior does not disrupt appropriate behavior. )     3 = present to a moderate degree: the individual needs to be redirected from an agitated to an appropriate behavior, but benefits from such cueing.     4 = present to an extreme degree: the individual is not able to engage in appropriate behavior due to the interference of the agitated behavior, even when external cueing or redirection is provided.      DO NOT LEAVE BLANKS.",dropdown,"1. Short attention span, easy distractibility, inability to concentrate.","1, 1- absent | 2, 2- present to a slight degree | 3, 3- present to a moderate degree | 4, 4- present to an extreme degree",,,,,,,y,,
abs_02,agitated_behavior_scale,,dropdown,"2. Impulsive, impatient, low tolerance for pain or frustration.","1, 1- absent | 2, 2- present to a slight degree | 3, 3- present to a moderate degree | 4, 4- present to an extreme degree",,,,,,,y,,
abs_03,agitated_behavior_scale,,dropdown,"3. Uncooperative, resistant to care, demanding.","1, 1- absent | 2, 2- present to a slight degree | 3, 3- present to a moderate degree | 4, 4- present to an extreme degree",,,,,,,y,,
abs_04,agitated_behavior_scale,,dropdown,"4. Violent and/or threatening violence toward people or property.","1, 1- absent | 2, 2- present to a slight degree | 3, 3- present to a moderate degree | 4, 4- present to an extreme degree",,,,,,,y,,
abs_05,agitated_behavior_scale,,dropdown,"5. Explosive and/or unpredictable anger.","1, 1- absent | 2, 2- present to a slight degree | 3, 3- present to a moderate degree | 4, 4- present to an extreme degree",,,,,,,y,,
abs_06,agitated_behavior_scale,,dropdown,"6. Rocking, rubbing, moaning or other self-stimulating behavior.","1, 1- absent | 2, 2- present to a slight degree | 3, 3- present to a moderate degree | 4, 4- present to an extreme degree",,,,,,,y,,
abs_07,agitated_behavior_scale,,dropdown,"7. Pulling at tubes, restraints, etc.","1, 1- absent | 2, 2- present to a slight degree | 3, 3- present to a moderate degree | 4, 4- present to an extreme degree",,,,,,,y,,
abs_08,agitated_behavior_scale,,dropdown,"8. Wandering from treatment areas.","1, 1- absent | 2, 2- present to a slight degree | 3, 3- present to a moderate degree | 4, 4- present to an extreme degree",,,,,,,y,,
abs_09,agitated_behavior_scale,,dropdown,"9. Restlessness, pacing, excessive movement.","1, 1- absent | 2, 2- present to a slight degree | 3, 3- present to a moderate degree | 4, 4- present to an extreme degree",,,,,,,y,,
abs_10,agitated_behavior_scale,,dropdown,"10. Repetitive behaviors, motor and/or verbal.","1, 1- absent | 2, 2- present to a slight degree | 3, 3- present to a moderate degree | 4, 4- present to an extreme degree",,,,,,,y,,
abs_11,agitated_behavior_scale,,dropdown,"11. Rapid, loud or excessive talking.","1, 1- absent | 2, 2- present to a slight degree | 3, 3- present to a moderate degree | 4, 4- present to an extreme degree",,,,,,,y,,
abs_12,agitated_behavior_scale,,dropdown,"12. Sudden changes of mood","1, 1- absent | 2, 2- present to a slight degree | 3, 3- present to a moderate degree | 4, 4- present to an extreme degree",,,,,,,y,,
abs_13,agitated_behavior_scale,,dropdown,"13. Easily initiated or excessive crying and/or laughter.","1, 1- absent | 2, 2- present to a slight degree | 3, 3- present to a moderate degree | 4, 4- present to an extreme degree",,,,,,,y,,
abs_14,agitated_behavior_scale,,dropdown,"14. Self-abusiveness, physical and/or verbal.","1, 1- absent | 2, 2- present to a slight degree | 3, 3- present to a moderate degree | 4, 4- present to an extreme degree",,,,,,,y,,
abs_total_score,agitated_behavior_scale,,text,"Total Score",,,integer,14,56,,,,,
